country_name,country_code,region,income_group,year,gdp_usd,population,life_expectancy,unemployment_rate,co2_emissions_per_capita,access_to_electricity_pct,source_file,ingested_at
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2015,261598243413.0,92346178.0,70.5,8.93,2.32,99.44,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Indonesia,IDN,East Asia & Pacific,Upper middle income,2019,1153030409018.0,269450949.0,71.5,3.73,2.21,98.52,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Iran,IRN,Middle East & North Africa,Lower middle income,2019,396740735984.0,81658029.0,76.7,10.97,7.6,100.0,manual_addendum.xlsx,2026-08-20 16:03:11
Mexico,MEX,Latin America & Caribbean,Upper middle income,2001,763642628603.0,100410597.0,74.4,2.78,3.88,95.9,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2023,1130843577014.0,17895362.0,82.2,3.53,7.31,99.98,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2011,791034797796.0,73490260.0,75.5,11.39,4.12,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2021,4556685729719.0,125529665.0,84.4,2.7,8.0,99.82,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2008,14242072305835.0,304128655.0,78.1,8.51,18.04,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2010,29577977933.0,87642605.0,61.8,2.02,0.08,22.91,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2021,25706922355204.0,331794622.0,76.6,5.72,13.82,99.7,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Thailand,THA,East Asia & Pacific,Upper middle income,2021,512326770356.0,71495757.0,77.3,1.06,3.77,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Poland,POL,Europe & Central Asia,High income,2008,415210002455.0,38069154.0,76.0,10.77,8.22,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Germany,DEU,Europe & Central Asia,High income,2015,3746739094641.0,82484948.0,80.7,5.2,8.7,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Canada,CAN,North America,High income,2012,1680782895492.0,34779384.0,81.4,7.5,15.81,99.93,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2008,1425157242669.0,1198739622.0,66.1,7.69,1.31,72.6,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2016,2428176431239.0,1333012048.0,69.2,6.24,1.73,90.55,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2005,529366913096.0,67743521.0,73.4,8.75,3.63,99.95,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
China,CHN,East Asia & Pacific,Upper middle income,2000,1202852737556.0,1262519942.0,71.7,3.46,2.62,98.35,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2008,1000001911467.0,111035167.0,75.6,4.92,4.05,98.79,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
China,CHN,East Asia & Pacific,Upper middle income,2001,1692591861273.0,1270990600.0,72.0,3.59,3.15,99.12,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2006,925224904677.0,107957154.0,75.2,4.38,3.71,98.58,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Indonesia,IDN,East Asia & Pacific,Upper middle income,2018,1077436091189.0,266519568.0,71.2,3.78,2.16,98.84,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2011,2167883023250.0,197778644.0,73.5,8.73,2.14,98.69,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2004,1915977800378.0,62466245.0,80.1,8.85,6.1,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Thailand,THA,East Asia & Pacific,Upper middle income,2011,356196972765.0,67665834.0,74.7,0.94,4.1,99.15,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2007,13681061820142.0,301112838.0,78.2,7.87,18.62,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2018,1667268071896.0,144383404.0,72.5,4.67,11.18,99.65,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Norway,NOR,Europe & Central Asia,High income,2013,423547964533.0,5041506.0,81.8,3.59,8.4,..,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2016,73519096138.0,105269329.0,65.0,2.8,0.12,39.7,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2008,1265754530108.0,143806416.0,68.2,8.37,11.86,99.57,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa ,ZAF,Sub-Saharan Africa,Upper middle income,2000,137217508811.0,44924289.0,56.3,24.58,8.02,70.79,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Canada,CAN,North America,High income,2000,747339109419.0,30668584.0,79.3,7.0,16.87,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Poland,POL,Europe & Central Asia,High income,2007,393769123330.0,38041660.0,75.6,12.49,8.19,99.52,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2006,2156957683836.0,61277982.0,79.4,6.98,8.43,99.68,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2000,12670426003.0,30888293.0,51.5,4.62,0.3,15.13,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2011,51026886716.0,42394914.0,62.0,5.68,0.33,24.84,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2015,75520649176.0,45886388.0,64.3,5.91,0.35,47.9,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2005,363527559339.0,24056578.0,73.7,5.13,15.1,99.12,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Germany,DEU,Europe & Central Asia,High income,2022,4450654216265.0,84081466.0,81.2,3.23,6.89,99.57,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2023,1815091.26,128499475.0,75.0,2.85,3.57,99.83,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Indonesia,IDN,East Asia & Pacific,Upper middle income,2000,163388276234.0,213953767.0,66.0,6.24,1.3,86.81,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2014,258427727307.0,90534289.0,70.4,9.13,2.27,99.78,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2019,441545930547.0,203221153.0,52.9,5.71,0.59,55.9,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Poland,POL,Europe & Central Asia,High income,2020,665063320720.0,37545617.0,77.0,3.38,7.52,99.76,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Germany,DEU,Europe & Central Asia,High income,2008,3118917984407.0,81913852.0,79.8,7.46,9.76,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2004,1975866991908.0,60418678.0,78.7,6.05,8.4,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2016,18847662581527.0,322214417.0,78.9,5.96,15.94,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Vietnam,VNM,East Asia & Pacific,Lower middle income,2023,436456332584.0,100297431.0,74.6,1.59,3.4,99.88,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Sweden,SWE,Europe & Central Asia,High income,2016,515665284727.0,9976813.0,82.6,6.98,4.14,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2021,113184543107.0,52240022.99999997,63.5,5.86,0.38,72.22,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Canada,CAN,North America,High income,2004,1113151526040.0,32002183.0,80.2,7.18,16.41,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2109,23053136834.0,81117589.0,58.9,2.23,0.07,19.93,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2013,2708118248325.0,64169623.0,80.5,6.52,6.8,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2017,5218763564297.0,126878703.0,84.1,3.02,8.73,99.75,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Norway,NOR,Europe & Central Asia,High income,2007,352412461826.0,4769482.0,80.5,3.45,8.81,99.5,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Vietnam,VNM,East Asia & Pacific,Lower middle income,2014,216255697517.0,91486905.0,73.6,1.61,2.5,98.44,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2017,1555732192724.0,51264930.0,82.7,3.87,12.0,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
China,CHN,East Asia & Pacific,Upper middle income,2006,4173123338076.0,1308080579.0,73.6,4.0,4.62,99.54,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Australia,AUS,East Asia & Pacific,High income,2018,1388501247178.0,25029780.0,82.7,5.63,16.01,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2010,1073820800672.0,114081336.0,75.9,6.03,3.69,99.08,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Thailand,THA,East Asia & Pacific,Upper middle income,2004,208564851058.0,64753030.0,72.1,1.9,3.5,88.82,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Vietnam,VNM,East Asia & Pacific,Lower middle income,2004,63485193474.0,82950659.0,72.5,1.74,1.07,90.72,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2003,425284895430.0,65882829.0,72.7,8.13,3.67,99.67,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Italy,ITA,Europe & Central Asia,High income,2022,2235752990852.0,59034256.0,83.2,8.51,5.25,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Italy,ITA,Europe & Central Asia,High income,2017,2062008842870.0,59676669.0,82.9,9.67,5.8,99.7,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2000,1362351459164.0,60895078.0,79.1,8.5,6.09,99.98,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2000,68052662160.0,122830493.0,46.5,3.88,0.68,45.89,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2020,1330604056296.0,125861508.0,70.9,4.41,3.29,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2005,18894762613.0,76875607.0,56.4,2.59,0.06,18.26,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2021,2738647292960.0,67828749.0,82.4,7.61,4.15,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2014,863853932973.0,16905879.0,81.5,4.22,9.7,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Italy,ITA,Europe & Central Asia,High income,2002,1344106379654.0,57392266.0,80.3,9.59,8.1,99.95,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Italy,ITA,Europe & Central Asia,High income,2013,2150063524162.0,59416317.0,82.4,9.83,6.52,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2016,80176865552.0,46780448.0,64.4,5.44,0.38,52.55,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2020,2849643867206.0,1393924197.0,69.6,7.6,1.76,97.46,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Indonesia,IDN,East Asia & Pacific,Upper middle income,2016,1005182044642.0,260972943.0,70.8,4.48,2.13,96.84,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Spain,ESP,Europe & Central Asia,High income,2002,768686261762.0,41781536.0,79.9,15.91,6.84,99.97,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2020,22449932875665.0,330190945.0,77.1,8.04,13.25,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2010,423450686559.0,41203737.0,75.5,8.42,4.58,98.38,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Spain,ESP,Europe & Central Asia,High income,2004,943990576274.0,42986774.0,80.3,16.79,6.67,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2019,2619768367369.0,67352747.0,82.6,8.23,4.62,99.84,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Canada,CAN,North America,High income,2021,2044688609179.0,38852952.0,81.2,7.8,14.16,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2002,975362193305.0,179786076.0,70.8,9.39,1.95,95.81,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2021,1568752853901.0,126783226.0,70.3,3.68,3.22,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2014,17871457164263.0,317426455.0,78.8,6.78,15.67,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2002,310389094903.0,37946123.0,74.2,13.48,3.82,96.1,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2018,784760887779.0,33502057.0,76.4,6.15,17.71,99.34,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2001,4970660780657.0,126920940.0,81.3,4.8,9.16,99.39,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2000,706117692798.0,98877663.0,74.2,2.58,3.83,96.51,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2023,1716712965003.0,51729923.0,83.5,2.67,12.02,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2023,3579550287128.0,1429059882.0,71.7,4.3,2.04,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Spain,ESP,Europe & Central Asia,High income,2023,1662606765750.0,48361368.0,83.8,13.51,4.75,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Canada,CAN,North America,High income,2020,1729268903333.0,38233859.0,81.4,9.68,13.79,99.73,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2017,391994317078.0,56518722.0,64.0,27.26,7.73,83.83,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2000,414780479225.0,15904872.0,77.8,3.22,11.39,99.94,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2020,842635546290.0,34971832.0,76.2,6.98,16.14,99.55,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2007,182390409316.0,78617797.0,70.0,9.41,2.33,99.08,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Germany,DEU,Europe & Central Asia,High income,2006,2847298745457.0,82011951.0,79.3,7.7,9.59,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2022,2115219267899.0,215161379.0,7.5,9.23,2.31,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2003,291091591582.0,22687868.0,73.3,4.75,14.82,98.53,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2006,21424260202.0,79102459.0,57.7,2.29,0.07,18.85,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Thailand,THA,East Asia & Pacific,Upper middle income,2023,522650142076.0,71776597.0,76.4,1.01,3.78,99.97,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Spain,ESP,Europe & Central Asia,High income,2021,1507694789635.0,47739568.0,82.6,15.19,4.73,99.9,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2022,25690035467815.0,333482355.0,78.3,4.4,13.42,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2019,315543619793.0,100085922.0,70.6,8.39,2.37,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2019,21589699536742.0,327960599.0,78.9,3.55,14.62,99.87,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Germany,DEU,Europe & Central Asia,High income,2010,3456201923607.0,81798821.0,80.1,7.66,9.53,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2021,380357810161.0,106395560.0,70.1,7.76,2.31,99.32,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Australia,AUS,East Asia & Pacific,High income,2000,420352286666.0,19209520.0,79.1,6.52,17.85,99.97,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2012,237230902335.0,86530157.0,70.4,8.97,2.39,99.51,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2004,25847900714.0,35148806.0,55.4,5.1,0.3,17.18,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2013,867138261064.0,16834124.0,81.3,4.41,10.08,99.74,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2015,395494274743.0,55046381.0,62.4,26.26,"7,86",84.38,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2020,104190056063.0,50837452.0,65.0,5.78,0.4,71.06,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2008,2362643343663.0,64075899.0,81.1,9.04,6.05,99.75,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2001,319887332438.0,64111052.0,72.1,7.25,3.56,99.89,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2002,1808670520030.0,59726610.0,78.2,5.92,9.09,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2003,1886992400319.0,60046024.0,78.7,5.84,8.63,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Australia,AUS,East Asia & Pacific,High income,2022,1687209667418.0,26307236.0,83.3,4.43,14.71,99.84,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2014,395706191540.0,178992231.0,51.9,4.49,0.71,53.14,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Italy,ITA,Europe & Central Asia,High income,2014,2125391859268.0,59449652.0,82.5,9.56,5.89,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Italy,ITA,Europe & Central Asia,High income,2001,1257195332119.0,57134721.0,80.1,10.27,8.3,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Australia,AUS,East Asia & Pacific,High income,2011,1188576017904.0,22396687.0,81.9,5.43,16.95,99.81,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2005,633369471785.0,16245591.0,79.6,4.05,10.95,99.71,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2023,108641045773.0,55101144.0,63.6,5.78,0.42,75.74,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2022,1078156017675.0,17742535.0,82.1,3.67,7.7,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2014,2724945415453.0,64616710.0,80.7,6.15,6.45,99.58,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Poland,POL,Europe & Central Asia,High income,2014,544635151620.0,37968844.0,77.3,7.27,8.45,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2015,1209410423899.0,120049770.0,75.6,4.36,3.63,99.15,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2003,1108894868844.0,182047966.0,70.9,8.91,2.0,95.48,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2006,2082273551529.0,63249682.0,80.5,8.28,6.2,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2007,5523053881570.0,127672942.0,82.2,4.94,9.78,99.89,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2023,2956661710974.0,68228484.0,83.2,7.1,3.98,99.92,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2018,1609167032111.0,51483.8,83.3,3.94,12.29,99.61,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2019,100410850654.0,49400425.0,66.1,4.86,0.39,69.87,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Italy,ITA,Europe & Central Asia,High income,2003,1422427822087.0,57653539.0,80.5,9.74,7.64,99.5,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Norway,NOR,Europe & Central Asia,High income,2009,344609509603.0,4846692.0,81.0,5.24,8.71,99.67,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
